ID	Vesisto	Alue	Max_1039	Min_1039	Mean_1039	Max_4069	Min_4069	Mean_4069	lat	long
1	Aurajoki	28	3,664949	-15,518767	-8,587849	7,095632	-19,006716	-9,707949	60,433045	22,229215
2	Iijoki	61	-2,078433	-33,142054	-18,23482	5,003121	-40,787358	-24,504424	65,334548	25,41135
3	Kalajoki	53	-8,858418	-28,682708	-19,493286	1,533017	-29,972078	-20,300272	64,258793	23,939395
4	Kemijoki, Isohaara	65,1	21,617333	-2,618248	7,149344	27,792188	-31,965212	-2,400793	65,793115	24,546844
5	Kitinen	65,8	4,195807	-21,579698	-10,56514	10,805456	-38,047707	-17,933694	67,133774	27,493864
6	Kokemäenjoki, Pori	35,1	7,965853	-6,568918	0,526844	18,368026	-6,771252	3,61806	61,550576	21,708489
7	Konnevesi	14,7	-1,018926	-13,94146	-7,866184	6,382814	-14,421866	-6,536234	62,618661	26,343165
8	Kymijoki	14,1	8,058397	-3,777631	2,978885	27,672385	-8,050148	4,143187	60,493986	26,450008
9	Kyrönjoki	42	2,977163	-19,27185	-11,725798	14,592882	-26,83233	-12,599179	63,187451	21,945552
10	Laihianjoki	41	6,007806	-23,599108	-12,569836	4,85085	-21,090047	-10,026763	63,049943	21,684701
11	Lapuanjoki	44	4,34216	-20,270396	-10,93396	6,864616	-29,443384	-11,335691	63,56065	22,507701
12	Lapväärtinjoki	37	5,954984	-10,662379	-1,011961	16,720257	-9,77492	3,10328	62,219205	21,436951
13	Loimijoki	35,9	1,380491	-8,923519	-4,557798	30,668862	-9,502588	4,367576	61,214234	22,631039
14	Naarajärvi, Saarijärven reitti	14,6	3,779748	-8,64609	-1,508699	10,379308	-6,84621	1,234051	62,625981	25,636236
15	Niemelänjärvi	59,9	2,171589	-12,347454	-4,337082	17,448906	-14,507982	-3,127678	64,652792	28,561244
16	Oulujoki, Merikoski	59,1	5,421359	-25,809017	-15,219827	14,196006	-32,172311	-9,138025	65,015795	25,470146
17	Ounasjoki, Hossa	65,6	19,939267	-9,352407	3,499613	29,973839	-28,907608	-5,732836	67,794111	24,935131
18	Paatsjoki, Kaitakoski	71	4,089793	-17,615389	-5,668976	-0,14955	-31,765947	-17,155343	68,903658	28,434323
19	Perhonjoki	49	0,265015	-23,339805	-15,145666	1,140181	-28,039198	-18,845521	63,889584	23,146863
20	Pyhäjoki	54	-3,755174	-37,348462	-24,9966	3,668318	-43,323108	-28,881357	64,486979	24,212645
21	Siikajoki	57	4,104927	-31,627249	-18,360859	10,383726	-35,464505	-23,843145	64,854107	24,717782
22	Simojoki	64	-6,002723	-37,936749	-22,818004	-4,385469	-41,32155	-24,603432	65,627958	25,056516
23	Teno	68	-4,152329	-21,665644	-12,943853	-5,948356	-23,076808	-15,839158	70,069666	28,059087
24	Tornionjoki, Tornio	67	8,964605	-12,607354	-5,545032	5,34885	-18,469908	-7,05873	65,813332	24,155892
25	Valkeakoski, Mallasvesi	35,7	2,005165	-15,904603	-8,731278	25,865867	-6,121829	5,188668	61,264978	24,031598
26	Vantaanjoki	21	7,334067	-12,788779	-4,899523	11,537404	-18,578108	-5,93271	60,216383	24,980795
27	Vuoksi	4,1	6,138746	-13,554492	-3,145571	17,206079	-14,215859	-0,5108	61,166699	28,773863
