wkt_geom	OBJECTID	Vesisto	Alue	Max_1039	Min_1039	Mean_1039	Max_4069	Min_4069	Mean_4069	ID	alue_1	POINT_X	POINT_Y	long	lat
Point (24.54684397100004389 65.79311527700008355)	1	Ala-Kemijoki	65.1	21.62	-2.62	7.15	27.79	-31.97	-2.4	3859	65_111	387781.2	7299041.97	24.546843971	65.793115277
Point (25.47014652700005399 65.01579528800004937)	2	Ala-Oulujoki	59.1	5.42	-25.81	-15.22	14.2	-32.17	-9.14	2926	59_111	427905.33	7211087.44	25.470146527	65.015795288
Point (22.22921454600003699 60.43304527600002984)	3	Aurajoki	28	3.66	-15.52	-8.59	7.1	-19.01	-9.71	1543	28_001	237537.83	6709152.38	22.229214546	60.433045276
Point (25.41134982300002321 65.33454783500008034)	4	Iijoki	61	-2.08	-33.14	-18.23	5	-40.79	-24.5	3450	61_111	426028.97	7246672.13	25.411349823	65.334547835
Point (23.93939500700003009 64.25879309900005865)	5	Kalajoki	53	-8.86	-28.68	-19.49	1.53	-29.97	-20.3	2675	53_011	351729.2	7129421.03	23.939395007	64.258793099
Point (27.49386391500007676 67.13377423000002864)	6	Kitinen	65.8	4.2	-21.58	-10.57	10.81	-38.05	-17.93	4246	65_811	521415.1	7446378.05	27.493863915	67.13377423
Point (21.70848873700003878 61.55057589300002974)	7	Kokemäenjoki	35.1	7.97	-6.57	0.53	18.37	-6.77	3.62	1648	35_111	218989.67	6835536.54	21.708488737	61.550575893
Point (26.45000838400005705 60.49398582800006352)	8	Kymijoki	14.1	8.06	-3.78	2.98	27.67	-8.05	4.14	693	14_111	469781.47	6706553.56	26.450008384	60.493985828
Point (21.94555211300007613 63.18745057400008136)	9	Kyrönjoki	42	2.98	-19.27	-11.73	14.59	-26.83	-12.6	2316	42_011	245818.15	7016490	21.945552113	63.187450574
Point (21.68470111700003145 63.04994274200004156)	10	Laihianjoki	41	6.01	-23.6	-12.57	4.85	-21.09	-10.03	2306	41_001	231453.97	7002268.66	21.684701117	63.049942742
Point (22.50770090200006734 63.56065006700004005)	11	Lapuanjoki	44	4.34	-20.27	-10.93	6.86	-29.44	-11.34	2401	44_011	276966.49	7055892.3	22.507700902	63.560650067
Point (21.43695050900004162 62.21920549700007541)	12	Lapväärtinjoki	37	5.95	-10.66	-1.01	16.72	-9.77	3.1	2245	37_011	210975.56	6911028.2	21.436950509	62.219205497
Point (22.6310386610000478 61.21423366500005159)	13	Loimijoki	35.9	1.38	-8.92	-4.56	30.67	-9.5	4.37	2091	35_911	265416.22	6794494.23	22.631038661	61.214233665
Point (24.03159802900006525 61.26497802600005116)	14	Längelmäveden-Hauhon reitti	35.7	2.01	-15.9	-8.73	25.87	-6.12	5.19	1994	35_711	340828.91	6795919.01	24.031598029	61.264978026
Point (28.98618780900005731 64.0990573250000466)	15	Ontojärvi-Lentua	59.9	2.17	-12.35	-4.34	17.45	-14.51	-3.13	3325	59_911	596792.7	7109561.84	28.986187809	64.099057325
Point (30.09637824200007117 69.71179382300005045)	16	Paatsjoki	71	4.09	-17.62	-5.67	-0.15	-31.77	-17.16	4803	71_000	619779.01	7736770.33	30.096378242	69.711793823
Point (23.14686261000002787 63.88958432800006904)	17	Perhonjoki	49	0.27	-23.34	-15.15	1.14	-28.04	-18.85	2568	49_011	310878.75	7090423.55	23.14686261	63.889584328
Point (24.21264464000006456 64.48697859200007088)	18	Pyhäjoki	54	-3.76	-37.35	-25	3.67	-43.32	-28.88	2753	54_011	366075.36	7154222.11	24.21264464	64.486978592
Point (26.34316522600005328 62.61866142600007379)	19	Rautalammin reitti	14.7	-1.02	-13.94	-7.87	6.38	-14.42	-6.54	1080	14_711	466296.83	6943274.29	26.343165226	62.618661426
Point (25.63623595800004296 62.62598082600004545)	20	Saarijärven reitti	14.6	3.78	-8.65	-1.51	10.38	-6.85	1.23	1024	14_611	430043.4	6944657.59	25.636235958	62.625980826
Point (24.71778216000006978 64.85410710600007178)	21	Siikajoki	57	4.1	-31.63	-18.36	10.38	-35.46	-23.84	2834	57_011	391809.89	7194146.14	24.71778216	64.854107106
Point (25.05651569900004461 65.62795828900004835)	22	Simojoki	64	-6	-37.94	-22.82	-4.39	-41.32	-24.6	3794	64_011	410520.11	7279824.76	25.056515699	65.627958289
Point (28.05908739900007731 70.06966628100008165)	23	Teno	68	-4.15	-21.67	-12.94	-5.95	-23.08	-15.84	4671	68_011	540289.97	7773992.25	28.059087399	70.069666281
Point (24.15589163300006703 65.81333242700003439)	24	Tornionjoki-Muonionjoki	67	8.96	-12.61	-5.55	5.35	-18.47	-7.06	4367	67_111	370008.33	7302047.72	24.155891633	65.813332427
Point (24.98079526200007194 60.21638330200005385)	25	Vantaanjoki	21	7.33	-12.79	-4.9	11.54	-18.58	-5.93	1339	21_011	388121.46	6677220.96	24.980795262	60.216383302
Point (28.77386290900005861 61.16669879800002718)	26	Vuoksi	4.1	6.14	-13.55	-3.15	17.21	-14.22	-0.51	83	04_111	595429.52	6782649.5	28.773862909	61.166698798
Point (24.93513094100006811 67.79411114500004487)	27	Ylä-Ounasjoki	65.6	19.94	-9.35	3.5	29.97	-28.91	-5.73	4136	65_611	412925.57	7521362.67	24.935130941	67.794111145
